Fecha,Estacion,Ciclo Fenologico,Temperatura Minima,Temperatura promedio,Temperatura Maxima
2024-11-10,spring,Floracion,8,16,24
2024-11-11,spring,Floracion,8,16,24
2024-11-12,spring,Floracion,8,16,24
2024-11-13,spring,Floracion,8,16,24
2024-11-14,spring,Floracion,8,16,24
2024-11-15,spring,Floracion,8,16,24
2024-11-16,spring,Floracion,8,16,24
2024-11-17,spring,Floracion,8,16,24
2024-11-18,spring,Floracion,8,16,24
2024-11-19,spring,Floracion,8,16,24
2024-11-20,spring,Floracion,8,16,24
2024-11-21,spring,Floracion,8,16,24
2024-11-22,spring,Floracion,8,16,24
2024-11-23,spring,Floracion,8,16,24
2024-11-24,spring,Floracion,8,16,24
2024-11-25,spring,Floracion,8,16,24
2024-11-26,spring,Floracion,8,16,24
2024-11-27,spring,Floracion,8,16,24
2024-11-28,spring,Floracion,8,16,24
2024-11-29,spring,Floracion,8,16,24
2024-11-30,spring,Floracion,8,16,24
2024-12-01,spring,Cuajado,8,16,24
2024-12-02,spring,Cuajado,8,16,24
2024-12-03,spring,Cuajado,8,16,24
2024-12-04,spring,Cuajado,8,16,24
2024-12-05,spring,Cuajado,8,16,24
2024-12-06,spring,Cuajado,8,16,24
2024-12-07,spring,Cuajado,8,16,24
2024-12-08,spring,Cuajado,8,16,24
2024-12-09,spring,Cuajado,8,16,24
2024-12-10,spring,Cuajado,8,16,24
2024-12-11,spring,Cuajado,8,16,24
2024-12-12,spring,Cuajado,8,16,24
2024-12-13,spring,Cuajado,8,16,24
2024-12-14,spring,Cuajado,8,16,24
2024-12-15,spring,Cuajado,8,16,24
2024-12-16,spring,Cuajado,8,16,24
2024-12-17,spring,Cuajado,8,16,24
2024-12-18,spring,Cuajado,8,16,24
2024-12-19,spring,Cuajado,8,16,24
2024-12-20,spring,Cuajado,8,16,24
2024-12-21,summer,Cuajado,8,16,24
2024-12-22,summer,Cuajado,8,16,24
2024-12-23,summer,Cuajado,8,16,24
2024-12-24,summer,Cuajado,8,16,24
2024-12-25,summer,Cuajado,8,16,24
2024-12-26,summer,Cuajado,8,16,24
2024-12-27,summer,Cuajado,8,16,24
2024-12-28,summer,Cuajado,8,16,24
2024-12-29,summer,Cuajado,8,16,24
